id,name,weight,status,sport,fantasy_positions,college,player_id,practice_description,rotowire_id,active,position,number,last_name,height,injury_status,injury_body_part,injury_notes,practice_participation,high_school,team,sportradar_id,yahoo_id,years_exp,fantasy_data_id,hashtag,search_last_name,first_name,birth_city,espn_id,birth_date,search_first_name,news_updated,gsis_id,birth_country,birth_state,search_full_name,depth_chart_position,rotoworld_id,depth_chart_order,injury_start_date,stats_id
13,Sam Koch,222,Active,nfl,['P'],Nebraska,13,,7073,True,P,4,Koch,73,,,,,Seward (NE),,544e4159-3da3-47ad-866c-bf48d7634f25,7952,16,430,#samkoch-NFL-FA-4,koch,Sam,,9789,1982-08-13,sam,1652988607209,00-0024417,,,samkoch,,,,,
14,Sidney Rice,202,Inactive,nfl,['WR'],South Carolina,14,,,False,WR,18,Rice,"6'3""",,,,,,,,,7,459,#sidneyrice-NFL-FA-18,rice,Sidney,,,1986-09-01,sidney,,,,,sidneyrice,,,,,
15,Patrick Willis,240,Inactive,nfl,['LB'],Mississippi,15,,,False,ILB,52,Willis,"6'1""",,,,,,,f27783fb-52a4-47a1-a096-20e67a983b4c,,8,511,#patrickwillis-NFL-FA-52,willis,Patrick,,10455,1985-01-25,patrick,,,,,patrickwillis,,4171,,,
16,Ray Rice,212,Inactive,nfl,['RB'],Rutgers,16,,,False,RB,27,Rice,"5'8""",,,,,,,712617bb-3379-46e9-86c6-af1c098e0a72,,6,547,#rayrice-NFL-FA-27,rice,Ray,,,1987-01-22,ray,,,,,rayrice,,,,,
17,Matt Prater,201,Active,nfl,['K'],UCF,17,,5051,True,K,5,Prater,70,Questionable,Knee - Meniscus,Surgery,,Estero (FL),,67f5e782-f91c-4536-9818-cf4a0e7e821d,8565,19,549,#mattprater-NFL-FA-5,prater,Matt,,11122,1984-08-10,matt,1735936522830,00-0023853,,,mattprater,,4502,,,218237
18,Gosder Cherilus,316,Inactive,nfl,['OL'],Boston College,18,,5711,False,T,78,Cherilus,"6'7""",,,,,Somerville (MA),,d552daac-a3c9-42e0-84f9-cbbe42b8be01,8794,12,558,#gosdercherilus-NFL-FA-78,cherilus,Gosder,,11251,1984-06-28,gosder,,,,,gosdercherilus,,,,,
19,Joe Flacco,230,Active,nfl,['QB'],Delaware,19,,5648,True,QB,15,Flacco,78,,,,,Audubon (NJ),CLE,64797df2-efd3-4b27-86ee-1d48f7edb09f,8795,17,611,#joeflacco-NFL-CLE-15,flacco,Joe,,11252,1985-01-16,joe,1749783655008,00-0026158,,,joeflacco,QB,4677,1,,216342
20,Jared Allen,255,Inactive,nfl,"['DL', 'LB']",Idaho State,20,,3996,False,DE,69,Allen,"6'6""",,,,,Los Gatos (CA),,c7699c7c-07c0-479b-977c-33e74327b946,6885,16,622,#jaredallen-NFL-FA-69,allen,Jared,,5651,1982-04-03,jared,,,,,jaredallen,,2837,,,
21,Red Bryant,323,Inactive,nfl,['DL'],Texas A&M,21,,6367,False,DE,71,Bryant,"6'4""",,,,,Jasper (TX),,742397f3-c997-44b7-9ff4-63007afec291,8901,12,678,#redbryant-NFL-FA-71,bryant,Red,,11358,1984-04-18,red,,,,,redbryant,,,,,
22,LaMarr Woodley,265,Inactive,nfl,['LB'],Michigan,22,,5317,False,LB,56,Woodley,"6'2""",,,,,Saginaw (MI),,d9f95cb5-2563-4119-91c5-841b0f2d4bb8,8300,13,711,#lamarrwoodley-NFL-FA-56,woodley,LaMarr,,10490,1984-11-03,lamarr,,,,,lamarrwoodley,,,,,
23,Jason Witten,263,Injured Reserve,nfl,['TE'],Tennessee,23,,3086,True,TE,0,Witten,78,,,,,Elizabethton (TN),,e38c9b1b-7c51-48a2-ac1d-a752502e8930,6405,19,722,#jasonwitten-NFL-FA-0,witten,Jason,,4527,1982-05-06,jason,1611786015933,00-0022127,,,jasonwitten,,1990,,,184571
24,Matt Ryan,220,Active,nfl,['QB'],Boston College,24,,5610,True,QB,2,Ryan,76,,,,,Penn (PA),,7e648a0b-fdc8-4661-a587-5826f2cac11b,8780,15,732,#mattryan-NFL-FA-2,ryan,Matt,,11237,1985-05-17,matt,1713810920069,00-0026143,,,mattryan,,4637,,,216263
25,Jerome Felton,248,Inactive,nfl,['RB'],Furman,25,,5784,False,FB,42,Felton,"6'0""",,,,,Sequoya (TN),,865740d9-3838-4733-a0eb-52193f101c32,8912,12,733,#jeromefelton-NFL-FA-42,felton,Jerome,,11369,1986-07-03,jerome,,,,,jeromefelton,,,,,253055
26,Roman Harper,205,Inactive,nfl,['DB'],Alabama,26,,4968,False,SS,41,Harper,"6'1""",,,,,Prattville (AL),,682a7396-9280-487f-aabf-561d0334bddd,7792,14,734,#romanharper-NFL-FA-41,harper,Roman,,9629,1982-12-11,roman,,,,,romanharper,,3697,,,
27,Jerod Mayo,250,Inactive,nfl,['LB'],Tennessee,27,,5604,False,LB,51,Mayo,"6'1""",,,,,Kecoughtan HS (VA),,28a2a255-9227-4a5f-a4ec-0ee4b2bf629b,8787,12,761,#jerodmayo-NFL-FA-51,mayo,Jerod,,11244,1986-02-23,jerod,,,,,jerodmayo,,4804,,,
28,Aaron Ross,197,Inactive,nfl,['DB'],Texas,28,,,False,CB,38,Ross,"6'0""",,,,,,,fef6074b-6053-482e-a1e9-9577f3a394b1,,8,796,#aaronross-NFL-FA-38,ross,Aaron,,10464,1982-09-15,aaron,,,,,aaronross,,,,,
29,Letroy Guion,322,Inactive,nfl,['DL'],Florida State,29,,5794,False,NT,98,Guion,"6'4""",,,,,Bradford (FL),,2fd4116c-52de-41f5-9f30-16614eb424c4,8929,12,804,#letroyguion-NFL-FA-98,guion,Letroy,,11386,1987-06-21,letroy,,,,,letroyguion,,4903,,,296455
30,D'Brickashaw Ferguson,310,Inactive,nfl,['OL'],Virginia,30,,4999,False,T,60,Ferguson,"6'6""",,,,,Freeport (NY),,614b6a41-94bf-4a6c-8635-079ff791fd4f,7753,14,805,#dbrickashawferguson-NFL-FA-60,ferguson,D'Brickashaw,,9590,1983-12-10,dbrickashaw,,,,,dbrickashawferguson,,3620,,,
31,Elvis Dumervil,250,Inactive,nfl,['DL'],Louisville,31,,4913,False,DE,58,Dumervil,"5'11""",,,,,Miami-Jackson (FL),,854a4f9f-fd7d-406f-a545-b23e3f16a201,7875,14,832,#elvisdumervil-NFL-FA-58,dumervil,Elvis,,9712,1984-01-19,elvis,1535642729812,,,,elvisdumervil,,3941,,,219063
32,Jacob Tamme,230,Inactive,nfl,['TE'],Kentucky,32,,5780,False,TE,83,Tamme,"6'3""",,,,,Boyle Co. (KY),,e89bed19-f222-41b6-9b85-cc6cccddcd5b,8916,12,852,#jacobtamme-NFL-FA-83,tamme,Jacob,,11373,1985-03-15,jacob,1511720101659,,,,jacobtamme,,4885,,,225194
33,Kenny Phillips,217,Inactive,nfl,['DB'],Miami,33,,,False,SS,38,Phillips,"6'2""",,,,,Miami Carol City (FL),,391881cd-4f9f-49c8-ba78-10ce74728f6d,8808,12,880,#kennyphillips-NFL-FA-38,phillips,Kenny,,11265,1986-11-24,kenny,,,,,kennyphillips,,,,,
34,Pierre Thomas,215,Inactive,nfl,['RB'],Illinois,34,,5517,False,RB,39,Thomas,"5'11""",,,,,TF South (IL),,e2782d05-3e61-4c4f-93a6-70eed054e5ba,8561,13,957,#pierrethomas-NFL-FA-39,thomas,Pierre,,10713,1984-12-18,pierre,,,,,pierrethomas,,4503,,,215734
35,Desmond Bishop,238,Inactive,nfl,['LB'],California,35,,5944,False,ILB,0,Bishop,"6'2""",,,,,,,f8155833-0f2f-4237-bdac-98e1a5c67651,8446,8,1003,#desmondbishop-NFL-FA-0,bishop,Desmond,,10635,1984-07-24,desmond,,,,,desmondbishop,,,,,
36,Matt Hasselbeck,235,Inactive,nfl,['QB'],Boston College,36,,949,False,QB,8,Hasselbeck,"6'4""",,,,,Xaverian Brothers (MA),,7d8eba61-208d-4d91-86cd-704ad05cb7f4,4416,22,1034,#matthasselbeck-NFL-FA-8,hasselbeck,Matt,,1575,1975-09-25,matt,,,,,matthasselbeck,,519,,,24535
37,Charles Johnson,278,Inactive,nfl,"['DL', 'WR']",Georgia,37,,5200,False,DE,95,Johnson,"6'2""",,,,,Hawkinsville (GA),,f4baa4a3-8548-4cc1-bba8-e5e8d5d4656e,8337,13,1061,#charlesjohnson-NFL-FA-95,johnson,Charles,,10527,1986-07-10,charles,1534961113737,,,,charlesjohnson,,4245,,,263156
38,Chris Chester,303,Inactive,nfl,['OL'],Oklahoma,38,,5025,False,G,65,Chester,"6'3""",,,,,Tustin (CA),,a25feaa2-93f5-4236-9d07-696b371af3d6,7805,14,1066,#chrischester-NFL-FA-65,chester,Chris,,9642,1983-01-12,chris,,,,,chrischester,,3702,,,
39,Manny Lawson,240,Inactive,nfl,['LB'],North Carolina State,39,,4904,False,LB,91,Lawson,"6'5""",,,,,Eastern Wayne (NC),,d776dd93-2e9a-4009-95d8-81bf89f89085,7771,14,1141,#mannylawson-NFL-FA-91,lawson,Manny,,9608,1984-07-03,manny,,,,,mannylawson,,3692,,,
40,Martellus Bennett,275,Inactive,nfl,['TE'],Texas A&M,40,,5709,False,TE,88,Bennett,"6'6""",,,,,Alief Taylor (TX),,0ca741f8-58bd-4933-9d5c-0e04de3f4cff,8838,12,1181,#martellusbennett-NFL-FA-88,bennett,Martellus,,11295,1987-03-10,martellus,1553002822296,00-0026201,,,martellusbennett,,4639,,,302238
41,David Garrard,239,Inactive,nfl,['QB'],East Carolina,41,,,False,QB,9,Garrard,"6'2""",,,,,,,,,10,1185,#davidgarrard-NFL-FA-9,garrard,David,,,1978-02-14,david,,,,,davidgarrard,,,,,
42,Frostee Rucker,280,Inactive,nfl,['DL'],Southern California,42,,5030,False,DE,98,Rucker,75,,,,,Tustin (CA),,36648f14-5fe5-40f3-ade1-ef53c8f93bdf,7840,16,1214,#frosteerucker-NFL-FA-98,rucker,Frostee,,9677,1983-09-14,frostee,1540428303395,00-0024306,,,frosteerucker,,,,,157135
43,Dan Connolly,313,Inactive,nfl,['OL'],Southeast Missouri State,43,,,False,G,63,Connolly,"6'4""",,,,,,,b30e620b-1f67-450f-a499-95f59808baac,,9,1215,#danconnolly-NFL-FA-63,connolly,Dan,,9298,1982-09-02,dan,,,,,danconnolly,,,,,
44,Ahmad Brooks,259,Inactive,nfl,['LB'],Virginia,44,,5108,False,LB,55,Brooks,"6'3""",Sus,,,,Hylton (VA),,22f9e814-6daa-4fe6-982e-c2cc5290561d,8006,14,1248,#ahmadbrooks-NFL-FA-55,brooks,Ahmad,,10138,1984-03-14,ahmad,1536969902962,00-0024495,,,ahmadbrooks,,3682,,,215678
45,Dan Carpenter,228,Inactive,nfl,['K'],Montana,45,,5882,False,K,2,Carpenter,"6'2""",,,,,Helena (MT),,d944ce13-2c90-4655-890c-5dac028a130c,9032,12,1269,#dancarpenter-NFL-FA-2,carpenter,Dan,,11688,1985-11-25,dan,,,,,dancarpenter,,5007,,,262373
46,Michael Griffin,215,Inactive,nfl,['DB'],Texas,46,,5367,False,FS,22,Griffin,"6'0""",,,,,Bowie (TX),,a7a09040-0fcc-41fe-a1ef-08963913be5f,8273,13,1286,#michaelgriffin-NFL-FA-22,griffin,Michael,,10463,1985-01-04,michael,1525657501510,,,,michaelgriffin,,,,,
47,Jackie Battle,240,Inactive,nfl,['RB'],Houston,47,,,False,FB,44,Battle,"6'2""",,,,,,,192e6f3d-c0d0-474e-b102-7b6a9c5743d3,,7,1362,#jackiebattle-NFL-FA-44,battle,Jackie,,11197,1983-10-01,jackie,,,,,jackiebattle,,,,,
48,James Harrison,242,Inactive,nfl,['LB'],Kent State,48,,4291,False,LB,92,Harrison,"6'0""",,,,,Coventry (OH),,aeca5ea8-967c-4113-9c7a-2d7b91a84b1e,6314,18,1370,#jamesharrison-NFL-FA-92,harrison,James,,4433,1978-05-04,james,1523889601701,,,,jamesharrison,,665,,,183237
49,Robbie Gould,190,Active,nfl,['K'],Penn State,49,,4686,True,K,9,Gould,72,,,,,Central Mountain (PA),,abd73d50-ce60-47f1-b37f-2f9a05b0d7b9,7520,18,1410,#robbiegould-NFL-FA-9,gould,Robbie,,9354,1982-12-06,robbie,1701970258455,00-0023252,,,robbiegould,,3519,,,167377
50,Jordan Palmer,229,Inactive,nfl,['QB'],Texas-El Paso,50,,,False,QB,5,Palmer,"6'6""",,,,,,,f4bb8ed1-d8cd-4e8c-97ca-60d299fa30ce,,5,1482,#jordanpalmer-NFL-FA-5,palmer,Jordan,,,1984-05-30,jordan,,,,,jordanpalmer,,,,,
51,Anthony Fasano,258,Inactive,nfl,['TE'],Notre Dame,51,,4755,False,TE,80,Fasano,"6'4""",,,,,Verona (NJ),,04eb8101-538f-44ac-ba09-ce30b5344fc2,7802,14,1545,#anthonyfasano-NFL-FA-80,fasano,Anthony,,9639,1984-04-20,anthony,1515181501373,,,,anthonyfasano,,,,,217412
52,Joel Dreessen,250,Inactive,nfl,['TE'],Colorado State,52,,,False,TE,81,Dreessen,"6'4""",,,,,,,,,8,1577,#joeldreessen-NFL-FA-81,dreessen,Joel,,,1982-07-26,joel,,,,,joeldreessen,,,,,
53,John Kuhn,250,Inactive,nfl,['RB'],"Shippensburg, Pa.",53,,5160,False,FB,29,Kuhn,"6'0""",,,,,Dover (PA),,a7152c92-426c-4c6b-9629-da63f5c60ff8,7695,15,1589,#johnkuhn-NFL-FA-29,kuhn,John,,9530,1982-09-09,john,1551903940739,,,,johnkuhn,,4050,,,285900
54,Tyvon Branch,210,Inactive,nfl,['DB'],Connecticut,54,,5756,False,SS,27,Branch,"6'0""",,,,,Cicero-North Syracuse (NY),,ce572d82-6f54-4317-8a1a-1c9c917972cc,8877,12,1590,#tyvonbranch-NFL-FA-27,branch,Tyvon,,11334,1986-12-11,tyvon,1522772101155,,,,tyvonbranch,,4871,,,267335
55,Visanthe Shiancoe,250,Inactive,nfl,['TE'],Morgan State,55,,,False,TE,80,Shiancoe,"6'4""",,,,,,,,,10,1614,#visantheshiancoe-NFL-FA-80,shiancoe,Visanthe,,,1980-06-18,visanthe,,,,,visantheshiancoe,,,,,
56,Leon Hall,195,Inactive,nfl,['DB'],Michigan,56,,5348,False,CB,29,Hall,71,,,,,Vista (CA),,16340de5-372b-4c20-953f-07a0fe26be69,8272,15,1650,#leonhall-NFL-FA-29,hall,Leon,,10462,1984-12-09,leon,1543619406482,00-0025405,,,leonhall,,4204,,,216026
57,Steven Jackson,240,Inactive,nfl,['RB'],Oregon State,57,,3756,False,RB,39,Jackson,"6'2""",,,,,Eldorado (NV),,3d980847-dec6-4fc1-a4bb-63bd0bfcb078,6783,16,1652,#stevenjackson-NFL-FA-39,jackson,Steven,,5549,1983-07-22,steven,,,,,stevenjackson,,1663,,,246074
58,Greg Olsen,255,Injured Reserve,nfl,['TE'],Miami,58,,5206,False,TE,88,Olsen,"6'5""",,,,,Wayne Hills (NJ),,587d0a98-7ec5-45a5-adba-8af26e8f256b,8285,14,1658,#gregolsen-NFL-FA-88,olsen,Greg,,10475,1985-03-11,greg,1611516056530,00-0025418,,,gregolsen,,4190,,,230925
59,Mason Crosby,212,Active,nfl,['K'],Colorado,59,,5363,True,K,21,Crosby,73,,,,,Georgetown (TX),,e0856548-6fd5-4f83-9aa0-91f1bf4cbbd8,8447,17,1694,#masoncrosby-NFL-FA-21,crosby,Mason,,10636,1984-09-03,mason,1738692034444,00-0025580,,,masoncrosby,,4182,,,214574
60,Andre Fluellen,302,Inactive,nfl,['DL'],Florida State,60,,6378,False,DT,96,Fluellen,"6'2""",,,,,Cartersville (GA),,014e3f01-a75e-4714-8a77-e89a6b085e1f,8864,12,1715,#andrefluellen-NFL-FA-96,fluellen,Andre,,11321,1985-03-07,andre,,,,,andrefluellen,,,,,
61,Cortland Finnegan,188,Inactive,nfl,['DB'],Samford,61,,,False,CB,21,Finnegan,"5'10""",,,,,Milton (FL),,9fe9d478-6884-4f2e-b74f-76d3305975e4,7964,14,1722,#cortlandfinnegan-NFL-FA-21,finnegan,Cortland,,9801,1984-02-02,cortland,,,,,cortlandfinnegan,,4035,,,
62,Trent Cole,270,Inactive,nfl,['LB'],Cincinnati,62,,4555,False,LB,58,Cole,"6'3""",,,,,Xenia (OH),,dcf82516-a1ae-4db5-8404-6ce090a59970,7322,15,1750,#trentcole-NFL-FA-58,cole,Trent,,8560,1982-10-05,trent,1514209201069,,,,trentcole,,,,,
63,Vonta Leach,255,Inactive,nfl,['RB'],East Carolina,63,,,False,RB,44,Leach,"6'0""",,,,,,,,,9,1760,#vontaleach-NFL-FA-44,leach,Vonta,,,1981-11-06,vonta,,,,,vontaleach,,,,,
64,Owen Daniels,245,Inactive,nfl,['TE'],Wisconsin,64,,4898,False,TE,81,Daniels,"6'3""",,,,,Naperille Central (IL),,7e5ce2d0-6487-4a9f-83b6-634886ee78f3,7847,14,1810,#owendaniels-NFL-FA-81,daniels,Owen,,9684,1982-11-09,owen,,,,,owendaniels,,,,,156817
65,Domenik Hixon,197,Inactive,nfl,['WR'],Akron,65,,,False,WR,87,Hixon,"6'2""",,,,,,,,,8,1854,#domenikhixon-NFL-FA-87,hixon,Domenik,,,1984-10-08,domenik,,,,,domenikhixon,,,,,
66,Tashard Choice,212,Inactive,nfl,['RB'],Georgia Tech,66,,,False,RB,43,Choice,"5'10""",,,,,,,,,6,1891,#tashardchoice-NFL-FA-43,choice,Tashard,,,1984-11-20,tashard,,,,,tashardchoice,,,,,
67,Pat Sims,330,Inactive,nfl,['DL'],Auburn,67,,5601,False,DT,92,Sims,"6'2""",,,,,Dillard (FL),,1f20aaed-7f06-45c8-a868-bb5fee0be950,8854,12,1903,#patsims-NFL-FA-92,sims,Pat,,11311,1985-11-29,pat,1511844301803,,,,patsims,,,,,263116
68,Mario Manningham,185,Inactive,nfl,['WR'],Michigan,68,,,False,WR,86,Manningham,"6'0""",,,,,,,21d172c4-1c74-44b8-9131-aee05a2beb60,,7,1904,#mariomanningham-NFL-FA-86,manningham,Mario,,,1986-05-25,mario,,,,,mariomanningham,,,,,
69,Santana Moss,200,Inactive,nfl,['WR'],Miami,69,,,False,WR,89,Moss,"5'10""",,,,,,,8cef3644-bd81-4645-b5d0-0a15ea8d6548,,14,1944,#santanamoss-NFL-FA-89,moss,Santana,,2564,1979-06-01,santana,,,,,santanamoss,,,,,
70,Joe Staley,295,Injured Reserve,nfl,['OL'],Central Michigan,70,,5296,True,T,0,Staley,77,,,,,Rockford (MI),,4d628a09-3631-4166-85f6-45f41a74e992,8282,15,1958,#joestaley-NFL-FA-0,staley,Joe,,10472,1984-08-30,joe,1587855646529,00-0025415,,,joestaley,,4213,,,
71,Jason Avant,210,Inactive,nfl,['WR'],Michigan,71,,4823,False,WR,81,Avant,"6'0""",,,,,Carver (IL),,931650e1-49dd-4d38-a5e7-d45a11529d00,7858,14,1986,#jasonavant-NFL-FA-81,avant,Jason,,9695,1983-04-20,jason,,,,,jasonavant,,,,,215489
72,Kevin Walter,218,Inactive,nfl,['WR'],Eastern Michigan,72,,,False,WR,87,Walter,"6'3""",,,,,,,,,11,2065,#kevinwalter-NFL-FA-87,walter,Kevin,,,1981-08-04,kevin,,,,,kevinwalter,,,,,
73,Nick Mangold,307,Inactive,nfl,['OL'],Ohio State,73,,5006,False,C,74,Mangold,"6'4""",,,,,Archbishop Alter (OH),,64419234-82af-49fb-9c7a-098388e745b3,7778,14,2074,#nickmangold-NFL-FA-74,mangold,Nick,,9615,1984-01-13,nick,1523971801462,,,,nickmangold,,3647,,,
74,Mike Adams,205,Injured Reserve,nfl,['DB'],Delaware,74,,4677,True,FS,0,Adams,71,,,,,Passaic County Technical Institute (NJ),,0f0ff562-af1c-4be8-8011-1f71e8441e00,7121,18,2104,#mikeadams-NFL-FA-0,adams,Mike,,5893,1981-03-24,mike,1583334649910,00-0022247,,,mikeadams,,3060,,,251343
75,Kendall Langford,305,Inactive,nfl,['DL'],Hampton,75,,5726,False,DE,98,Langford,"6'6""",,,,,Petersburg (VA),,53f8b594-314d-4f34-9444-a2b3e7eb0185,8843,12,2158,#kendalllangford-NFL-FA-98,langford,Kendall,,11300,1986-01-27,kendall,1535987767738,00-0026206,,,kendalllangford,,4862,,,277741
76,Jason Hatcher,299,Inactive,nfl,['DL'],Grambling,76,,5029,False,DE,97,Hatcher,"6'6""",,,,,Jena (LA),,75f4e314-a25d-4833-b39e-02014853d7bb,7841,14,2163,#jasonhatcher-NFL-FA-97,hatcher,Jason,,9678,1982-07-13,jason,,,,,jasonhatcher,,,,,
77,Zak DeOssie,249,Active,nfl,['LS'],Brown,77,,5347,True,LS,51,DeOssie,77,,,,,Phillips Andover Academy (MA),,c38a3fbc-f9af-4676-b905-4f101a99194d,8370,15,2194,#zakdeossie-NFL-FA-51,deossie,Zak,,10560,1984-05-25,zak,1596847538580,00-0025503,,,zakdeossie,,,,,
78,Ahmad Bradshaw,214,Inactive,nfl,['RB'],Marshall,78,,5267,False,RB,44,Bradshaw,"5'10""",,,,,Graham (VA),,8f22eb36-5282-407a-b6f9-f9b62e5f7318,8504,13,2220,#ahmadbradshaw-NFL-FA-44,bradshaw,Ahmad,,10693,1986-03-19,ahmad,,,,,ahmadbradshaw,,4305,,,267892
79,Stefan Charles,302,Inactive,nfl,['DL'],"Regina, Can.",79,,9193,False,DT,66,Charles,"6'5""",,,,,Eastdale Collegiate and Vocational Institute (ON),,50fd6da3-9fb3-45cf-83e8-5797f1f16308,27298,7,2232,#stefancharles-NFL-FA-66,charles,Stefan,,16568,1988-06-09,stefan,1566690956117,00-0030132,,,stefancharles,,,,,733939
80,Ed Reed,205,Inactive,nfl,['DB'],Miami,80,,,False,FS,22,Reed,"5'11""",,,,,,,,,12,2240,#edreed-NFL-FA-22,reed,Ed,,,1978-09-11,ed,,,,,edreed,,2222,,,
81,Randy Starks,305,Inactive,nfl,['DL'],Maryland,81,,3782,False,DE,94,Starks,"6'4""",,,,,Westlake HS (MD),,b0600599-7dde-4f86-a9a8-4a94ab54d609,6830,16,2253,#randystarks-NFL-FA-94,starks,Randy,,5596,1983-12-14,randy,,,,,randystarks,,,,,
82,Brandon Jacobs,264,Inactive,nfl,['RB'],Southern Illinois,82,,4402,False,RB,34,Jacobs,"6'4""",,,,,,,,,8,2254,#brandonjacobs-NFL-FA-34,jacobs,Brandon,,,1982-07-06,brandon,1622163912568,,,,brandonjacobs,,,,,
83,Tim Hightower,220,Inactive,nfl,['RB'],Richmond,83,,5785,False,RB,22,Hightower,"6'0""",,,,,Episcopal (VA),,c1ffd69d-92d7-4e12-8fd3-db9977d6dcf4,8926,12,2262,#timhightower-NFL-FA-22,hightower,Tim,,11383,1986-05-23,tim,1528822201316,00-0026289,,,timhightower,,4901,,,262666
84,Branden Albert,310,Inactive,nfl,['OL'],Virginia,84,,5714,False,T,76,Albert,"6'5""",,,,,Glen Burnie (MD),,868a2028-46f6-4263-91ca-e7907cbdf5e7,8792,12,2284,#brandenalbert-NFL-FA-76,albert,Branden,,11249,1984-11-04,branden,,,,,brandenalbert,,4805,,,
85,Justin Tuck,265,Inactive,nfl,['DL'],Notre Dame,85,,4476,False,DE,91,Tuck,"6'5""",,,,,Central (AL),,bbfb80d3-910b-4be2-be73-3dab3c5ce398,7250,15,2307,#justintuck-NFL-FA-91,tuck,Justin,,8488,1983-03-29,justin,,,,,justintuck,,3286,,,
86,Dante Rosario,250,Inactive,nfl,['TE'],Oregon,86,,,False,TE,88,Rosario,"6'3""",,,,,,,d4ace3ac-094b-4a3d-b526-9962c8b90bc8,8409,9,2332,#danterosario-NFL-FA-88,rosario,Dante,,10598,1984-10-25,dante,,,,,danterosario,,,,,214030
